,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
4628,XM_392812.7,0.223321406,0.44321675,0.260880188,0.214232437,10.2100534,0.189492265,0.001975023,0.181607125,0.070512669,0.181607125
4629,XM_623298.6,0.223421554,0.443319718,0.208379804,0.171156622,6.531406105,0.103875398,0.023688579,0.075200163,0.093489778,0.093489778
4630,XM_395837.7,0.223492656,0.443365021,0.24892993,0.204494625,7.08793378,0.172645022,0.01509404,0.152178167,0.081797994,0.152178167
4631,XM_026445850.1,0.223578133,0.443392761,0.526116408,0.432281654,3.208658266,0.771451327,0.28874795,0.458721764,0.345976387,0.458721764
4632,XM_006558762.3,0.223603187,0.443392761,0.225071615,0.184939289,7.621588191,0.141198081,0.012174953,0.12463521,0.073995512,0.12463521
4633,XM_394823.7,0.223710934,0.443510668,0.321063707,0.263876506,8.70546622,0.287443534,0.005854358,0.272668885,0.067902682,0.272668885
4634,XM_016916588.2,0.223827651,0.443550588,-0.299064531,0.245857733,8.330844713,0.249515718,0.008487179,0.23329692,0.068759455,0.23329692
4635,XM_003251626.4,0.223786071,0.443550588,0.38965891,0.320305638,4.040166134,0.374185445,0.193744896,0.16378692,0.216637911,0.216637911
4636,XR_003306352.1,0.224034548,0.443864825,0.508779317,0.41844887,6.66444314,0.722733012,0.024257412,0.676140417,0.090522181,0.676140417
4637,XM_392588.7,0.224098551,0.44389588,0.234655706,0.193020782,10.94414979,0.15377643,0.001203337,0.147824752,0.073458241,0.147824752
4638,XR_003305942.1,0.22416123,0.4439243,0.44924089,0.36958215,3.824000009,0.563757574,0.200752435,0.345611429,0.242941688,0.345611429
4639,XM_006564939.3,0.2243817,0.444265125,0.309406048,0.254663761,4.67861762,0.234911468,0.09867433,0.1256645,0.160740195,0.160740195
4640,XM_392139.7,0.224479398,0.444267027,0.229441809,0.188887171,7.387543908,0.147237502,0.014251558,0.128461896,0.076882791,0.128461896
4641,XM_026441044.1,0.224473444,0.444267027,0.227103638,0.186959879,9.807839198,0.144248536,0.00256921,0.137246775,0.0692879,0.137246775
4642,XM_003251734.4,0.224694886,0.444514545,0.248435643,0.204618886,7.02903132,0.172769256,0.01820836,0.149267195,0.08293143,0.149267195
4643,XM_001121588.5,0.224749651,0.444514545,-0.374140466,0.308189474,10.30164407,0.391923096,0.00223745,0.377685556,0.070829207,0.377685556
4644,XR_001703645.2,0.224703171,0.444514545,0.602069663,0.495891106,2.60332828,0.835455063,0.478516047,0.313046412,0.505115908,0.505115908
4645,NM_001162398.1,0.224877428,0.444671512,0.28803207,0.237325093,6.831086153,0.232396605,0.019508178,0.205784621,0.086983912,0.205784621
4646,XM_006569784.3,0.225174649,0.445163399,-0.167288987,0.137926759,8.313294324,0.03311636,0.007273651,0.020212276,0.068821512,0.068821512
4647,XM_623090.6,0.225324015,0.445267013,0.166682272,0.137470796,8.316329329,0.058621617,0.006782298,0.048088583,0.068810581,0.068810581
4648,XR_003304347.1,0.225303121,0.445267013,0.486688616,0.401377164,3.282140416,0.606717529,0.313360028,0.269018523,0.331054484,0.331054484
4649,XM_026444701.1,0.225464213,0.445448225,-1.258736547,1.038453685,4.23445551,4.448485995,0.363851086,3.949693139,0.196412638,3.949693139
4650,XM_396503.7,0.225546618,0.445515202,-0.162563949,0.134138569,9.108111651,0.065506652,0.004224839,0.058410277,0.067747784,0.067747784
4651,XM_397155.7,0.22567634,0.445641195,-0.208634713,0.172201693,6.503853082,0.096141265,0.024477022,0.066094779,0.094136671,0.094136671
4652,XM_003251083.4,0.22570744,0.445641195,0.172466649,0.14235905,12.16104613,0.027317632,0.000495789,0.020274604,0.080568608,0.080568608
4653,XM_026444023.1,0.226115398,0.446350727,-0.165892935,0.137053326,8.488522245,0.077464284,0.006374538,0.068759919,0.068310506,0.068759919
4654,XR_001706218.2,0.226328853,0.446523134,-0.762531406,0.630259057,2.96644799,1.638033292,0.346888835,1.242017078,0.401311869,1.242017078
4655,XM_016912074.2,0.226303673,0.446523134,-0.21040828,0.173900421,7.143697501,0.124706836,0.015581058,0.105384368,0.080767307,0.105384368
4656,XR_003304930.1,0.22634858,0.446523134,-0.883778636,0.730505197,3.929218888,2.20053186,0.752736605,1.381814765,0.229601417,1.381814765
4657,XM_006571297.3,0.226550555,0.446825607,-0.193151994,0.159723161,8.10603599,0.105191607,0.00931511,0.092730842,0.069800802,0.092730842
4658,XM_396958.7,0.226635177,0.446896543,0.37942694,0.313816657,7.786092916,0.406052619,0.010444254,0.383479323,0.072312113,0.383479323
4659,XM_001120151.3,0.226830107,0.447184918,-0.23902069,0.19777235,5.784330182,0.121598272,0.042191418,0.071769334,0.114264192,0.114264192
4660,XM_026438959.1,0.227062424,0.447465759,0.355698088,0.294461668,4.056882917,0.240890413,0.132053185,0.089894792,0.21477751,0.21477751
4661,XM_006567193.3,0.227069995,0.447465759,0.289650051,0.239788263,9.02220086,0.237033309,0.004128799,0.225864846,0.06768249,0.225864846
4662,XM_396712.6,0.227272997,0.447769729,0.248310822,0.20565519,5.856532905,0.174340017,0.043462332,0.125713896,0.112019374,0.125713896
4663,XM_006570291.3,0.227558936,0.448236935,-0.270695088,0.224332171,8.853632055,0.207419934,0.005250251,0.196049442,0.067704168,0.196049442
4664,XM_006571389.3,0.227664014,0.448347763,0.166166242,0.137737482,8.284212735,0.066494289,0.006955812,0.056399148,0.068930644,0.068930644
4665,XR_003306394.1,0.228035375,0.44888661,-0.469353997,0.389364797,3.584908235,0.301237999,0.328941492,-0.069127399,0.27747829,0.27747829
4666,XM_393080.7,0.228024206,0.44888661,-0.212145174,0.175986313,6.746420503,0.127627234,0.022347883,0.101536846,0.088780247,0.101536846
4667,XM_016911435.2,0.228387776,0.449366491,-0.399167469,0.33139069,5.164021307,0.452483125,0.108517088,0.330762069,0.135890618,0.330762069
4668,XM_006564609.3,0.228401378,0.449366491,0.161547629,0.134121514,8.995056133,0.036003673,0.004282513,0.026836383,0.067671809,0.067671809
4669,XM_394922.7,0.228425928,0.449366491,-0.17963922,0.149149546,9.448423018,0.091655591,0.003204458,0.08577789,0.068361741,0.08577789
4670,XM_001120658.5,0.228510131,0.449435879,0.211530598,0.175659873,8.728389664,0.127129244,0.005469156,0.117956407,0.067866386,0.117956407
4671,XR_003306421.1,0.228886722,0.449895984,-0.289672943,0.240745797,5.057283624,0.176001214,0.0913526,0.073245725,0.140481555,0.140481555
