,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
10210,XM_006570388.3,0.839991835,0.937977171,0.013112398,0.06494375,13.47587507,0.00237304,0.000185817,0.002372947,0.012467255,0.012467255
10211,XM_006564226.3,0.840173086,0.937995824,0.01402153,0.069526381,10.85203661,0.003608593,0.00096103,0.002949441,0.013540723,0.013540723
10212,XR_003304763.1,0.840125792,0.937995824,0.064901253,0.321719245,4.03233267,0.128314701,0.13776472,0.002117799,0.172745097,0.172745097
10213,XR_001706436.2,0.840555208,0.938285781,0.028429201,0.14130991,8.198223273,0.020182345,0.007174513,0.014783601,0.052730958,0.052730958
10214,XM_001120911.5,0.840894224,0.938285781,0.017289703,0.086125633,10.11620305,0.004812425,0.002015887,0.003188101,0.020236988,0.020236988
10215,XM_003249946.4,0.840926595,0.938285781,-0.03380512,0.168429027,11.4746869,0.077679861,0.000763928,0.084341083,0.010971924,0.084341083
10216,XM_623442.6,0.840917174,0.938285781,-0.116462243,0.580221138,5.753535304,0.921853402,0.043821021,0.966148685,0.099914864,0.966148685
10217,XR_120199.4,0.840866929,0.938285781,0.031123194,0.155007801,7.640639722,0.044770718,0.009599701,0.039357493,0.062482554,0.062482554
10218,XM_003249919.4,0.840674494,0.938285781,0.104641774,0.520526089,2.475044145,0.499343426,0.517166043,0.028826755,0.295676186,0.295676186
10219,XR_003305372.1,0.841038102,0.938318368,-0.04522172,0.225470742,6.402640765,0.139204244,0.022347722,0.130163445,0.083670511,0.130163445
10220,XM_026443413.1,0.841528457,0.938589898,0.027431581,0.137199897,10.17481925,0.051542893,0.001684037,0.054787398,0.019475753,0.054787398
10221,XM_003250344.4,0.841375038,0.938589898,0.012012531,0.060022154,12.11700762,0.002027215,0.000530255,0.001656392,0.010277722,0.010277722
10222,XR_003306062.1,0.841471694,0.938589898,0.050758191,0.253776533,5.061091066,0.106700372,0.069671995,0.046925496,0.123535591,0.123535591
10223,XR_001702703.2,0.8416262,0.938607093,-0.015974103,0.079944941,11.79380111,0.01750012,0.000625643,0.018547938,0.010444889,0.018547938
10224,XM_006571273.3,0.842111702,0.938988749,0.02533303,0.127178256,9.48685492,0.044286777,0.002770197,0.045752729,0.029416432,0.045752729
10225,XR_409432.3,0.842133142,0.938988749,0.086154285,0.432575949,3.150578871,0.413842485,0.327931405,0.12506856,0.233434451,0.233434451
